Full release scope: 459 task sessions
Parallel full conversion with 16 session workers
OK 032452e9-1886-449d-9c13-0f192572e19f: 307/426 trials, 406 neurons, 1 probes, 20.6s
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.47it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.65it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.51it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.16it/s]
OK eef82e27-c20e-48da-b4b7-c443031649e3: 226/509 trials, 1083 neurons, 1 probes, 41.0s
OK ecb5520d-1358-434c-95ec-93687ecd1396: 313/510 trials, 1805 neurons, 2 probes, 49.0s
OK ebe2efe3-e8a1-451a-8947-76ef42427cc9: 352/672 trials, 1190 neurons, 2 probes, 49.7s
SKIP d832d9f7-c96a-4f63-8921-516ba4a7b61f: RuntimeError: no left or right whisker motion-energy stream
OK ef38e503-dd79-4185-bf87-4712d4f274fe: 294/577 trials, 667 neurons, 1 probes, 37.7s
OK ee212778-3903-4f5b-ac4b-a72f22debf03: 338/522 trials, 1578 neurons, 2 probes, 48.3s
OK f27e6cd6-cdd3-4524-b8e3-8146046e2a7d: 284/419 trials, 763 neurons, 1 probes, 27.0s
OK ee8b36de-779f-4dea-901f-e0141c95722b: 419/553 trials, 1414 neurons, 2 probes, 51.4s
  0%|          | 0/3.0 [00:00<?, ?it/s]OK eebacd5a-7dcd-4ba6-9dff-ec2a4d2f19e0: 475/630 trials, 1791 neurons, 2 probes, 52.1s
SKIP da188f2c-553c-4e04-879b-c9ea2d1b9a93: RuntimeError: no left or right whisker motion-energy stream
 33%|███▎      | 1/3.0 [00:00<00:01,  1.42it/s]OK edd22318-216c-44ff-bc24-49ce8be78374: 511/891 trials, 1513 neurons, 2 probes, 56.1s
 67%|██████▋   | 2/3.0 [00:01<00:00,  1.46it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.15it/s]
OK eacc49a9-f3a1-49f1-b87f-0972f90ee837: 657/817 trials, 2622 neurons, 2 probes, 64.2s
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.46it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.32it/s]100%|██████████| 3/3.0 [00:01<00:00,  1.96it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.63it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.60it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.59it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.13it/s]
OK f25642c6-27a5-4a97-9ea0-06652db79fbd: 327/403 trials, 897 neurons, 2 probes, 39.5s
SKIP dd4da095-4a99-4bf3-9727-f735077dba66: RuntimeError: no left or right whisker motion-energy stream
OK ee40aece-cffd-4edb-a4b6-155f158c666a: 519/994 trials, 1934 neurons, 2 probes, 71.2s
OK f5591ac5-311d-4fa8-9bad-029d7be9c491: 533/785 trials, 448 neurons, 1 probes, 27.2s
OK f10efe41-0dc0-44d0-8f26-5ff68dca23e9: 389/663 trials, 2562 neurons, 2 probes, 69.8s
OK f1db6257-85ef-4385-b415-2d078ec75df2: 457/741 trials, 2465 neurons, 2 probes, 63.1s
OK f312aaec-3b6f-44b3-86b4-3a0c119c0438: 462/626 trials, 1504 neurons, 2 probes, 53.0s
OK f3ce3197-d534-4618-bf81-b687555d1883: 697/990 trials, 902 neurons, 1 probes, 38.6s
OK f4ffb731-8349-4fe4-806e-0232a84e52dd: 708/844 trials, 603 neurons, 1 probes, 37.5s
OK f304211a-81b1-446f-a435-25e589fe3a5a: 679/1016 trials, 1257 neurons, 2 probes, 57.4s
OK f7335a49-4a98-46d2-a8ce-d041d2eac1d6: 185/402 trials, 1093 neurons, 2 probes, 34.2s
OK f4eb56a4-8bf8-4bbc-a8f3-6e6535134bad: 306/558 trials, 2212 neurons, 2 probes, 42.6s
OK f359281f-6941-4bfd-90d4-940be22ed3c3: 236/463 trials, 1241 neurons, 2 probes, 49.4s
OK f56194bc-8215-4ae8-bc6a-89781ad8e050: 490/696 trials, 1899 neurons, 2 probes, 48.8s
OK f88d4dd4-ccd7-400e-9035-fa00be3bcfa8: 226/401 trials, 2001 neurons, 2 probes, 42.3s
OK f819d499-8bf7-4da0-a431-15377a8319d5: 254/441 trials, 2051 neurons, 2 probes, 46.2s
OK fa8ad50d-76f2-45fa-a52f-08fe3d942345: 267/459 trials, 259 neurons, 1 probes, 22.1s
OK f84045b0-ce09-4ace-9d11-5ea491620707: 350/583 trials, 1843 neurons, 2 probes, 52.2s
OK fbd28ea6-3251-48e0-b215-2c51ec5185f7: 277/629 trials, 431 neurons, 1 probes, 26.5s
SKIP e5fae088-ed96-4d9b-82f9-dfd13c259d52: RuntimeError: no left or right whisker motion-energy stream
OK f9860a11-24d3-452e-ab95-39e199f20a93: 257/463 trials, 1952 neurons, 2 probes, 45.5s
OK f8d5c8b0-b931-4151-b86c-c471e2e80e5d: 519/787 trials, 1570 neurons, 2 probes, 59.9s
OK fc14c0d6-51cf-48ba-b326-56ed5a9420c3: 373/519 trials, 1399 neurons, 1 probes, 34.2s
OK f99ac31f-171b-4208-a55d-5644c0ad51c3: 407/748 trials, 1578 neurons, 2 probes, 48.5s
OK fa1f26a1-eb49-4b24-917e-19f02a18ac61: 493/605 trials, 1357 neurons, 2 probes, 43.4s
OK fd03d365-91df-41e2-ad81-9e0e4b9f5c7b: 383/601 trials, 1186 neurons, 1 probes, 31.3s
SKIP ebe090af-5922-4fcd-8fc6-17b8ba7bad6d: RuntimeError: no left or right whisker motion-energy stream
OK fc43390d-457e-463a-9fd4-b94a0a8b48f5: 407/581 trials, 1994 neurons, 2 probes, 39.8s
  0%|          | 0/3.0 [00:00<?, ?it/s]OK fb70ebf7-8175-42b0-9b7a-7c6e8612226e: 484/649 trials, 1619 neurons, 2 probes, 44.3s
 33%|███▎      | 1/3.0 [00:00<00:01,  1.30it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.53it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.10it/s]
OK fa704052-147e-46f6-b190-a65b837e605e: 741/1007 trials, 1487 neurons, 2 probes, 47.7s
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.69it/s]OK fe1fd79f-b051-411f-a0a9-2530a02cc78d: 364/548 trials, 891 neurons, 2 probes, 32.7s
 67%|██████▋   | 2/3.0 [00:01<00:00,  1.47it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.32it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.04it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s]OK ff48aa1d-ef30-4903-ac34-8c41b738c1b9: 733/945 trials, 1400 neurons, 1 probes, 26.9s
 33%|███▎      | 1/3.0 [00:00<00:01,  1.25it/s]OK ffef0311-8ffa-49e3-a857-b3adf6d86e12: 401/578 trials, 950 neurons, 1 probes, 20.4s
 67%|██████▋   | 2/3.0 [00:01<00:00,  1.28it/s]100%|██████████| 3/3.0 [00:01<00:00,  1.83it/s]
SKIP f8041c1e-5ef4-4ae6-afec-ed82d7a74dc1: RuntimeError: only 0 valid trials
OK ff96bfe1-d925-4553-94b5-bf8297adf259: 265/426 trials, 2277 neurons, 2 probes, 29.0s
OK ff4187b5-4176-4e39-8894-53a24b7cf36b: 601/872 trials, 2079 neurons, 2 probes, 36.6s
OK fcd49e34-f07b-441c-b2ac-cb8c462ec5ac: 1201/1279 trials, 3140 neurons, 2 probes, 50.5s
OK fece187f-b47f-4870-a1d6-619afe942a7d: 1445/1525 trials, 2129 neurons, 2 probes, 41.6s
Saved /app/converted_data.pkl: 441 sessions, 135 subjects, 186844 trials, 594965 session-neurons, 18 skipped, 1235.8s total
