Candidate sessions: 459 (sample=False)
behavior 1/459 6713a4a7-faed-4df2-acab-ee4e63326f8d: {'eid': '6713a4a7-faed-4df2-acab-ee4e63326f8d', 'trials': 407, 'side': 'left', 'raw': 565, 'base_valid': 407, 'seconds': 0.3342280387878418}
behavior 235/459 4546cd60-fa2a-4d20-a9b6-d091e01d16f2: {'eid': '4546cd60-fa2a-4d20-a9b6-d091e01d16f2', 'trials': 310, 'side': 'left', 'raw': 550, 'base_valid': 310, 'seconds': 0.2134532928466797}
behavior 236/459 cef05f87-161b-4031-932c-6f47daf89698: {'eid': 'cef05f87-161b-4031-932c-6f47daf89698', 'trials': 346, 'side': 'left', 'raw': 586, 'base_valid': 346, 'seconds': 0.2237992286682129}
behavior 237/459 75db708a-9952-4452-a5b1-a851d88f8e28: {'eid': '75db708a-9952-4452-a5b1-a851d88f8e28', 'trials': 311, 'side': 'left', 'raw': 551, 'base_valid': 311, 'seconds': 0.23238778114318848}
behavior 238/459 7f150b7c-c261-46e6-9edb-cc391c9d9f03: {'eid': '7f150b7c-c261-46e6-9edb-cc391c9d9f03', 'trials': 341, 'side': 'left', 'raw': 656, 'base_valid': 341, 'seconds': 0.2790555953979492}
behavior 239/459 837b4e6a-ccfd-49b0-a1dd-3aa53fbf2ecb: {'eid': '837b4e6a-ccfd-49b0-a1dd-3aa53fbf2ecb', 'trials': 344, 'side': 'left', 'raw': 560, 'base_valid': 344, 'seconds': 0.22968626022338867}
behavior 240/459 9fc31d79-b56f-46d0-92a0-e9563caf4a7a: {'eid': '9fc31d79-b56f-46d0-92a0-e9563caf4a7a', 'trials': 278, 'side': 'left', 'raw': 420, 'base_valid': 278, 'seconds': 0.22147440910339355}
behavior 241/459 a34b4013-414b-42ed-9318-e93fbbc71e7b: {'eid': 'a34b4013-414b-42ed-9318-e93fbbc71e7b', 'trials': 269, 'side': 'left', 'raw': 711, 'base_valid': 269, 'seconds': 0.28151893615722656}
behavior 242/459 49250fba-801c-4867-a0a7-a1e19538cb61: {'eid': '49250fba-801c-4867-a0a7-a1e19538cb61', 'trials': 378, 'side': 'left', 'raw': 678, 'base_valid': 378, 'seconds': 0.2596726417541504}
behavior 243/459 2ab7d2c2-bcb7-4ae6-9626-f3786c22d970: {'eid': '2ab7d2c2-bcb7-4ae6-9626-f3786c22d970', 'trials': 307, 'side': 'left', 'raw': 591, 'base_valid': 307, 'seconds': 0.24625277519226074}
behavior 244/459 94dabed1-741c-4ddd-a6b7-70561e27b750: {'eid': '94dabed1-741c-4ddd-a6b7-70561e27b750', 'trials': 382, 'side': 'left', 'raw': 629, 'base_valid': 382, 'seconds': 0.2572317123413086}
behavior 245/459 be164a14-6e73-42c3-ab60-d29c48693c0f: {'eid': 'be164a14-6e73-42c3-ab60-d29c48693c0f', 'trials': 251, 'side': 'left', 'raw': 420, 'base_valid': 251, 'seconds': 0.21444344520568848}
behavior 246/459 37ac03f1-9831-4a30-90fc-a59e635b98bd: {'eid': '37ac03f1-9831-4a30-90fc-a59e635b98bd', 'trials': 309, 'side': 'left', 'raw': 490, 'base_valid': 309, 'seconds': 0.249495267868042}
behavior 247/459 87ad026d-5b95-4022-8d59-c260870d830f: {'eid': '87ad026d-5b95-4022-8d59-c260870d830f', 'trials': 589, 'side': 'left', 'raw': 926, 'base_valid': 589, 'seconds': 0.31613993644714355}
behavior 248/459 3bb54985-77b2-421d-9d1f-46185be51216: {'eid': '3bb54985-77b2-421d-9d1f-46185be51216', 'trials': 453, 'side': 'left', 'raw': 755, 'base_valid': 453, 'seconds': 0.2724294662475586}
behavior 249/459 6cbeead9-bb7a-40e1-8ccd-47ae60239654: {'eid': '6cbeead9-bb7a-40e1-8ccd-47ae60239654', 'trials': 324, 'side': 'left', 'raw': 499, 'base_valid': 324, 'seconds': 0.2236483097076416}
behavior 250/459 a2b9fbbe-79fc-4166-a16e-b307813a2f06: {'eid': 'a2b9fbbe-79fc-4166-a16e-b307813a2f06', 'trials': 264, 'side': 'left', 'raw': 469, 'base_valid': 264, 'seconds': 0.21880102157592773}
behavior 251/459 5437ec1f-6535-470c-80b8-4c8806ee085d: {'eid': '5437ec1f-6535-470c-80b8-4c8806ee085d', 'trials': 258, 'side': 'left', 'raw': 512, 'base_valid': 258, 'seconds': 0.21784472465515137}
behavior 252/459 36573e0b-ddd6-4504-94ec-9a23c877486c: {'eid': '36573e0b-ddd6-4504-94ec-9a23c877486c', 'trials': 278, 'side': 'left', 'raw': 516, 'base_valid': 278, 'seconds': 0.2183549404144287}
behavior 253/459 04749a70-ac63-477d-8392-d4d529184fab: {'eid': '04749a70-ac63-477d-8392-d4d529184fab', 'trials': 348, 'side': 'left', 'raw': 593, 'base_valid': 348, 'seconds': 0.2627408504486084}
behavior 254/459 d23b005f-46f5-4fe1-870c-f55f6eb9533d: {'eid': 'd23b005f-46f5-4fe1-870c-f55f6eb9533d', 'trials': 415, 'side': 'left', 'raw': 586, 'base_valid': 415, 'seconds': 0.23350167274475098}
behavior 255/459 7235b10c-6621-44ea-abe9-01559633472d: {'eid': '7235b10c-6621-44ea-abe9-01559633472d', 'trials': 358, 'side': 'left', 'raw': 610, 'base_valid': 358, 'seconds': 0.22113275527954102}
behavior 256/459 fd03d365-91df-41e2-ad81-9e0e4b9f5c7b: {'eid': 'fd03d365-91df-41e2-ad81-9e0e4b9f5c7b', 'trials': 383, 'side': 'left', 'raw': 601, 'base_valid': 383, 'seconds': 0.2257072925567627}
behavior 257/459 62ff920c-2fdd-4feb-9d9f-0d66f2e595a1: {'eid': '62ff920c-2fdd-4feb-9d9f-0d66f2e595a1', 'trials': 356, 'side': 'left', 'raw': 627, 'base_valid': 356, 'seconds': 0.22174930572509766}
behavior 258/459 14127fdb-2e66-4823-b124-f49c128ba94d: {'eid': '14127fdb-2e66-4823-b124-f49c128ba94d', 'trials': 370, 'side': 'left', 'raw': 629, 'base_valid': 370, 'seconds': 0.28760576248168945}
behavior 259/459 7eeb8423-49e6-4d40-ab6f-703d17af231a: {'eid': '7eeb8423-49e6-4d40-ab6f-703d17af231a', 'trials': 445, 'side': 'left', 'raw': 632, 'base_valid': 445, 'seconds': 0.2672712802886963}
behavior 260/459 6ab9d98c-b1e9-4574-b8fe-b9eec88097e0: {'eid': '6ab9d98c-b1e9-4574-b8fe-b9eec88097e0', 'trials': 617, 'side': 'left', 'raw': 874, 'base_valid': 617, 'seconds': 0.29091954231262207}
behavior 261/459 37bbc17f-8dec-4fa8-97fd-e23a5c6bad1f: {'eid': '37bbc17f-8dec-4fa8-97fd-e23a5c6bad1f', 'trials': 480, 'side': 'left', 'raw': 759, 'base_valid': 480, 'seconds': 0.28695225715637207}
behavior 262/459 0cf6d255-8f2f-463e-84fb-c54bacb79f51: {'eid': '0cf6d255-8f2f-463e-84fb-c54bacb79f51', 'trials': 444, 'side': 'left', 'raw': 702, 'base_valid': 444, 'seconds': 0.23587250709533691}
behavior 263/459 c02e5155-8e8f-427e-873d-d61490bbb9c3: {'eid': 'c02e5155-8e8f-427e-873d-d61490bbb9c3', 'trials': 592, 'side': 'left', 'raw': 929, 'base_valid': 592, 'seconds': 0.30054736137390137}
behavior 264/459 98e0074c-706a-40e5-bbb5-223f97585a99: {'eid': '98e0074c-706a-40e5-bbb5-223f97585a99', 'trials': 531, 'side': 'left', 'raw': 740, 'base_valid': 531, 'seconds': 0.31476283073425293}
behavior 265/459 e6de6c35-1508-4471-b7c3-f12a5c7a6d39: {'eid': 'e6de6c35-1508-4471-b7c3-f12a5c7a6d39', 'trials': 351, 'side': 'left', 'raw': 540, 'base_valid': 351, 'seconds': 0.2247486114501953}
behavior 266/459 1dbba733-24a4-4400-9436-53f1bd8428e8: {'eid': '1dbba733-24a4-4400-9436-53f1bd8428e8', 'trials': 406, 'side': 'left', 'raw': 620, 'base_valid': 406, 'seconds': 0.23611879348754883}
behavior 267/459 2584ce3c-db10-4076-89cb-5d313138dd38: {'eid': '2584ce3c-db10-4076-89cb-5d313138dd38', 'trials': 428, 'side': 'left', 'raw': 712, 'base_valid': 428, 'seconds': 0.2325146198272705}
behavior 268/459 e6bdb1f4-b0bf-4451-8f23-4384f2102f91: {'eid': 'e6bdb1f4-b0bf-4451-8f23-4384f2102f91', 'trials': 456, 'side': 'left', 'raw': 773, 'base_valid': 456, 'seconds': 0.2797417640686035}
behavior 269/459 66d98e6e-bcd9-4e78-8fbb-636f7e808b29: {'eid': '66d98e6e-bcd9-4e78-8fbb-636f7e808b29', 'trials': 379, 'side': 'left', 'raw': 564, 'base_valid': 379, 'seconds': 0.3391540050506592}
behavior 270/459 f9860a11-24d3-452e-ab95-39e199f20a93: {'eid': 'f9860a11-24d3-452e-ab95-39e199f20a93', 'trials': 257, 'side': 'left', 'raw': 463, 'base_valid': 257, 'seconds': 0.3256227970123291}
behavior 271/459 f3ce3197-d534-4618-bf81-b687555d1883: {'eid': 'f3ce3197-d534-4618-bf81-b687555d1883', 'trials': 697, 'side': 'left', 'raw': 990, 'base_valid': 697, 'seconds': 0.3883500099182129}
behavior 272/459 6f09ba7e-e3ce-44b0-932b-c003fb44fb89: {'eid': '6f09ba7e-e3ce-44b0-932b-c003fb44fb89', 'trials': 411, 'side': 'left', 'raw': 551, 'base_valid': 411, 'seconds': 0.33243870735168457}
behavior 273/459 695a6073-eae0-49e0-bb0f-e9e57a9275b9: {'eid': '695a6073-eae0-49e0-bb0f-e9e57a9275b9', 'trials': 466, 'side': 'left', 'raw': 651, 'base_valid': 469, 'seconds': 0.29335618019104004}
behavior 274/459 6fb1e12c-883b-46d1-a745-473cde3232c8: {'eid': '6fb1e12c-883b-46d1-a745-473cde3232c8', 'trials': 317, 'side': 'left', 'raw': 508, 'base_valid': 317, 'seconds': 0.2519209384918213}
behavior 275/459 88d24c31-52e4-49cc-9f32-6adbeb9eba87: {'eid': '88d24c31-52e4-49cc-9f32-6adbeb9eba87', 'trials': 319, 'side': 'left', 'raw': 547, 'base_valid': 319, 'seconds': 0.2622954845428467}
behavior 276/459 c6db3304-c906-400c-aa0f-45dd3945b2ea: {'eid': 'c6db3304-c906-400c-aa0f-45dd3945b2ea', 'trials': 529, 'side': 'left', 'raw': 742, 'base_valid': 529, 'seconds': 0.31409358978271484}
behavior 277/459 4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a: {'eid': '4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a', 'trials': 342, 'side': 'left', 'raw': 529, 'base_valid': 342, 'seconds': 0.25964832305908203}
behavior 278/459 dac3a4c1-b666-4de0-87e8-8c514483cacf: {'eid': 'dac3a4c1-b666-4de0-87e8-8c514483cacf', 'trials': 394, 'side': 'left', 'raw': 501, 'base_valid': 394, 'seconds': 0.26609015464782715}
behavior 279/459 875c1e5c-f7ec-45ac-ab82-ecfe7276a707: {'eid': '875c1e5c-f7ec-45ac-ab82-ecfe7276a707', 'trials': 608, 'side': 'left', 'raw': 787, 'base_valid': 608, 'seconds': 0.34029364585876465}
behavior 280/459 81a1dca0-cc90-47c5-afe3-c277319c47c8: {'eid': '81a1dca0-cc90-47c5-afe3-c277319c47c8', 'trials': 298, 'side': 'left', 'raw': 444, 'base_valid': 298, 'seconds': 0.2744889259338379}
behavior 281/459 493170a6-fd94-4ee4-884f-cc018c17eeb9: {'eid': '493170a6-fd94-4ee4-884f-cc018c17eeb9', 'trials': 535, 'side': 'left', 'raw': 686, 'base_valid': 535, 'seconds': 0.31383585929870605}
behavior 282/459 360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7: {'eid': '360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7', 'trials': 367, 'side': 'left', 'raw': 609, 'base_valid': 367, 'seconds': 0.32839250564575195}
behavior 283/459 d7e60cc3-6020-429e-a654-636c6cc677ea: {'eid': 'd7e60cc3-6020-429e-a654-636c6cc677ea', 'trials': 294, 'side': 'left', 'raw': 490, 'base_valid': 295, 'seconds': 0.3010261058807373}
behavior 284/459 f4ffb731-8349-4fe4-806e-0232a84e52dd: {'eid': 'f4ffb731-8349-4fe4-806e-0232a84e52dd', 'trials': 708, 'side': 'left', 'raw': 844, 'base_valid': 708, 'seconds': 0.3352060317993164}
behavior 285/459 a4747ac8-6a75-444f-b99b-696fff0243fd: {'eid': 'a4747ac8-6a75-444f-b99b-696fff0243fd', 'trials': 338, 'side': 'left', 'raw': 504, 'base_valid': 338, 'seconds': 0.18927884101867676}
behavior 286/459 c4432264-e1ae-446f-8a07-6280abade813: {'eid': 'c4432264-e1ae-446f-8a07-6280abade813', 'trials': 586, 'side': 'left', 'raw': 848, 'base_valid': 586, 'seconds': 0.32729268074035645}
behavior 287/459 9e9c6fc0-4769-4d83-9ea4-b59a1230510e: {'eid': '9e9c6fc0-4769-4d83-9ea4-b59a1230510e', 'trials': 610, 'side': 'left', 'raw': 1007, 'base_valid': 610, 'seconds': 0.3917980194091797}
behavior 288/459 09b2c4d1-058d-4c84-9fd4-97530f85baf6: {'eid': '09b2c4d1-058d-4c84-9fd4-97530f85baf6', 'trials': 421, 'side': 'left', 'raw': 598, 'base_valid': 421, 'seconds': 0.3202826976776123}
behavior 289/459 5d6aa933-4b00-4e99-ae2d-5003657592e9: {'eid': '5d6aa933-4b00-4e99-ae2d-5003657592e9', 'trials': 640, 'side': 'left', 'raw': 845, 'base_valid': 640, 'seconds': 0.3975191116333008}
behavior 290/459 63f3dbc1-1a5f-44e5-98dd-ce25cd2b7871: {'eid': '63f3dbc1-1a5f-44e5-98dd-ce25cd2b7871', 'trials': 322, 'side': 'left', 'raw': 456, 'base_valid': 322, 'seconds': 0.25085997581481934}
behavior 291/459 746d1902-fa59-4cab-b0aa-013be36060d5: {'eid': '746d1902-fa59-4cab-b0aa-013be36060d5', 'trials': 481, 'side': 'left', 'raw': 660, 'base_valid': 481, 'seconds': 0.32288622856140137}
behavior 292/459 5b609f9b-75cb-43d3-9c39-b5b4b7a0db67: {'eid': '5b609f9b-75cb-43d3-9c39-b5b4b7a0db67', 'trials': 751, 'side': 'left', 'raw': 1001, 'base_valid': 751, 'seconds': 0.37369513511657715}
behavior 293/459 56bc129c-6265-407a-a208-cc16d20a6c01: {'eid': '56bc129c-6265-407a-a208-cc16d20a6c01', 'trials': 641, 'side': 'left', 'raw': 1065, 'base_valid': 641, 'seconds': 0.39823460578918457}
behavior 294/459 1a507308-c63a-4e02-8f32-3239a07dc578: {'eid': '1a507308-c63a-4e02-8f32-3239a07dc578', 'trials': 379, 'side': 'left', 'raw': 743, 'base_valid': 379, 'seconds': 0.3109860420227051}
behavior 295/459 f5591ac5-311d-4fa8-9bad-029d7be9c491: {'eid': 'f5591ac5-311d-4fa8-9bad-029d7be9c491', 'trials': 533, 'side': 'left', 'raw': 785, 'base_valid': 533, 'seconds': 0.3230876922607422}
behavior 296/459 ab8a0899-a59f-42e4-8807-95b14056104b: {'eid': 'ab8a0899-a59f-42e4-8807-95b14056104b', 'trials': 386, 'side': 'left', 'raw': 805, 'base_valid': 386, 'seconds': 0.3193490505218506}
behavior 297/459 71e03be6-b497-4991-a121-9416dcc1a6e7: {'eid': '71e03be6-b497-4991-a121-9416dcc1a6e7', 'trials': 488, 'side': 'left', 'raw': 817, 'base_valid': 488, 'seconds': 0.3373544216156006}
behavior 298/459 d0ea3148-948d-4817-94f8-dcaf2342bbbe: {'eid': 'd0ea3148-948d-4817-94f8-dcaf2342bbbe', 'trials': 304, 'side': 'left', 'raw': 560, 'base_valid': 304, 'seconds': 0.29438066482543945}
behavior 299/459 4aa1d525-5c7d-4c50-a147-ec53a9014812: {'eid': '4aa1d525-5c7d-4c50-a147-ec53a9014812', 'trials': 370, 'side': 'left', 'raw': 564, 'base_valid': 370, 'seconds': 0.24635791778564453}
behavior 300/459 9b5a1754-ac99-4d53-97d3-35c2f6638507: {'eid': '9b5a1754-ac99-4d53-97d3-35c2f6638507', 'trials': 274, 'side': 'left', 'raw': 443, 'base_valid': 274, 'seconds': 0.24359440803527832}
behavior 301/459 2c44a360-5a56-4971-8009-f469fb59de98: {'eid': '2c44a360-5a56-4971-8009-f469fb59de98', 'trials': 333, 'side': 'left', 'raw': 602, 'base_valid': 333, 'seconds': 0.2282257080078125}
behavior 302/459 3f6e25ae-c007-4dc3-aa77-450fd5705046: {'eid': '3f6e25ae-c007-4dc3-aa77-450fd5705046', 'trials': 216, 'side': 'left', 'raw': 401, 'base_valid': 216, 'seconds': 0.17962169647216797}
behavior 303/459 113c5b6c-940e-4b21-b462-789b4c2be0e5: {'eid': '113c5b6c-940e-4b21-b462-789b4c2be0e5', 'trials': 304, 'side': 'left', 'raw': 436, 'base_valid': 304, 'seconds': 0.21380853652954102}
behavior 304/459 0b7ee1b6-42db-46cd-a465-08f531366187: {'eid': '0b7ee1b6-42db-46cd-a465-08f531366187', 'trials': 628, 'side': 'left', 'raw': 797, 'base_valid': 628, 'seconds': 0.3202970027923584}
behavior 305/459 a4a74102-2af5-45dc-9e41-ef7f5aed88be: {'eid': 'a4a74102-2af5-45dc-9e41-ef7f5aed88be', 'trials': 270, 'side': 'left', 'raw': 408, 'base_valid': 270, 'seconds': 0.18712472915649414}
behavior 306/459 72cb5550-43b4-4ef0-add5-e4adfdfb5e02: {'eid': '72cb5550-43b4-4ef0-add5-e4adfdfb5e02', 'trials': 370, 'side': 'left', 'raw': 733, 'base_valid': 370, 'seconds': 0.3549203872680664}
behavior 307/459 d0c91c3c-8cbb-4929-8657-31f18bffc294: {'eid': 'd0c91c3c-8cbb-4929-8657-31f18bffc294', 'trials': 627, 'side': 'left', 'raw': 815, 'base_valid': 629, 'seconds': 0.31105661392211914}
behavior 308/459 6f6d2c8e-28be-49f4-ae4d-06be2d3148c1: {'eid': '6f6d2c8e-28be-49f4-ae4d-06be2d3148c1', 'trials': 393, 'side': 'left', 'raw': 552, 'base_valid': 393, 'seconds': 0.24565935134887695}
behavior 309/459 88224abb-5746-431f-9c17-17d7ef806e6a: {'eid': '88224abb-5746-431f-9c17-17d7ef806e6a', 'trials': 355, 'side': 'left', 'raw': 452, 'base_valid': 355, 'seconds': 0.26813840866088867}
behavior 310/459 7cec9792-b8f9-4878-be7e-f08103dc0323: {'eid': '7cec9792-b8f9-4878-be7e-f08103dc0323', 'trials': 472, 'side': 'left', 'raw': 616, 'base_valid': 472, 'seconds': 0.2789633274078369}
behavior 311/459 0802ced5-33a3-405e-8336-b65ebc5cb07c: {'eid': '0802ced5-33a3-405e-8336-b65ebc5cb07c', 'trials': 271, 'side': 'left', 'raw': 424, 'base_valid': 271, 'seconds': 0.2059001922607422}
behavior 312/459 239dd3c9-35f3-4462-95ee-91b822a22e6b: {'eid': '239dd3c9-35f3-4462-95ee-91b822a22e6b', 'trials': 255, 'side': 'left', 'raw': 414, 'base_valid': 255, 'seconds': 0.25900793075561523}
behavior 313/459 9dd72e52-5393-4c08-9eca-f7dace2e59f6: {'eid': '9dd72e52-5393-4c08-9eca-f7dace2e59f6', 'trials': 241, 'side': 'left', 'raw': 403, 'base_valid': 241, 'seconds': 0.2599673271179199}
EXCLUDE dd4da095-4a99-4bf3-9727-f735077dba66: FileNotFoundError: no matched camera time/motion stream
EXCLUDE e5fae088-ed96-4d9b-82f9-dfd13c259d52: FileNotFoundError: no matched camera time/motion stream
behavior 316/459 21e16736-fd59-44c7-b938-9b1333d25da8: {'eid': '21e16736-fd59-44c7-b938-9b1333d25da8', 'trials': 346, 'side': 'left', 'raw': 802, 'base_valid': 346, 'seconds': 0.2822740077972412}
behavior 317/459 53738f95-bd08-4d9d-9133-483fdb19e8da: {'eid': '53738f95-bd08-4d9d-9133-483fdb19e8da', 'trials': 354, 'side': 'left', 'raw': 596, 'base_valid': 354, 'seconds': 0.21317553520202637}
behavior 318/459 d33baf74-263c-4b37-a0d0-b79dcb80a764: {'eid': 'd33baf74-263c-4b37-a0d0-b79dcb80a764', 'trials': 298, 'side': 'left', 'raw': 427, 'base_valid': 298, 'seconds': 0.27784180641174316}
behavior 319/459 259927fd-7563-4b03-bc5d-17b4d0fa7a55: {'eid': '259927fd-7563-4b03-bc5d-17b4d0fa7a55', 'trials': 499, 'side': 'left', 'raw': 646, 'base_valid': 500, 'seconds': 0.28472280502319336}
behavior 320/459 510b1a50-825d-44ce-86f6-9678f5396e02: {'eid': '510b1a50-825d-44ce-86f6-9678f5396e02', 'trials': 654, 'side': 'left', 'raw': 1075, 'base_valid': 654, 'seconds': 0.36206936836242676}
behavior 321/459 193fe7a8-4eb5-4f3e-815a-0c45864ddd77: {'eid': '193fe7a8-4eb5-4f3e-815a-0c45864ddd77', 'trials': 443, 'side': 'left', 'raw': 629, 'base_valid': 443, 'seconds': 0.325284481048584}
behavior 322/459 ff4187b5-4176-4e39-8894-53a24b7cf36b: {'eid': 'ff4187b5-4176-4e39-8894-53a24b7cf36b', 'trials': 601, 'side': 'left', 'raw': 872, 'base_valid': 602, 'seconds': 0.3156735897064209}
behavior 323/459 465c44bd-2e67-4112-977b-36e1ac7e3f8c: {'eid': '465c44bd-2e67-4112-977b-36e1ac7e3f8c', 'trials': 359, 'side': 'left', 'raw': 484, 'base_valid': 359, 'seconds': 0.1987903118133545}
behavior 324/459 e49d8ee7-24b9-416a-9d04-9be33b655f40: {'eid': 'e49d8ee7-24b9-416a-9d04-9be33b655f40', 'trials': 404, 'side': 'left', 'raw': 510, 'base_valid': 406, 'seconds': 0.21318578720092773}
behavior 325/459 ee40aece-cffd-4edb-a4b6-155f158c666a: {'eid': 'ee40aece-cffd-4edb-a4b6-155f158c666a', 'trials': 519, 'side': 'left', 'raw': 994, 'base_valid': 519, 'seconds': 0.3537309169769287}
behavior 326/459 f8d5c8b0-b931-4151-b86c-c471e2e80e5d: {'eid': 'f8d5c8b0-b931-4151-b86c-c471e2e80e5d', 'trials': 519, 'side': 'left', 'raw': 787, 'base_valid': 520, 'seconds': 0.30664658546447754}
behavior 327/459 cb2ad999-a6cb-42ff-bf71-1774c57e5308: {'eid': 'cb2ad999-a6cb-42ff-bf71-1774c57e5308', 'trials': 679, 'side': 'left', 'raw': 872, 'base_valid': 679, 'seconds': 0.3426496982574463}
behavior 328/459 934dd7a4-fbdc-459c-8830-04fe9033bc28: {'eid': '934dd7a4-fbdc-459c-8830-04fe9033bc28', 'trials': 536, 'side': 'left', 'raw': 688, 'base_valid': 536, 'seconds': 0.29155421257019043}
behavior 329/459 fe1fd79f-b051-411f-a0a9-2530a02cc78d: {'eid': 'fe1fd79f-b051-411f-a0a9-2530a02cc78d', 'trials': 364, 'side': 'left', 'raw': 548, 'base_valid': 364, 'seconds': 0.24193549156188965}
EXCLUDE 4d8c7767-981c-4347-8e5e-5d5fffe38534: FileNotFoundError: no matched camera time/motion stream
behavior 331/459 1e45d992-c356-40e1-9be1-a506d944896f: {'eid': '1e45d992-c356-40e1-9be1-a506d944896f', 'trials': 414, 'side': 'left', 'raw': 623, 'base_valid': 414, 'seconds': 0.36143970489501953}
behavior 332/459 03063955-2523-47bd-ae57-f7489dd40f15: {'eid': '03063955-2523-47bd-ae57-f7489dd40f15', 'trials': 564, 'side': 'left', 'raw': 867, 'base_valid': 564, 'seconds': 0.36412978172302246}
behavior 333/459 768a371d-7e88-47f8-bf21-4a6a6570dd6e: {'eid': '768a371d-7e88-47f8-bf21-4a6a6570dd6e', 'trials': 259, 'side': 'left', 'raw': 403, 'base_valid': 259, 'seconds': 0.21796154975891113}
behavior 334/459 45ef6691-7b80-4a43-bd1a-85fc00851ae8: {'eid': '45ef6691-7b80-4a43-bd1a-85fc00851ae8', 'trials': 428, 'side': 'left', 'raw': 645, 'base_valid': 428, 'seconds': 0.30129289627075195}
behavior 335/459 fc14c0d6-51cf-48ba-b326-56ed5a9420c3: {'eid': 'fc14c0d6-51cf-48ba-b326-56ed5a9420c3', 'trials': 373, 'side': 'left', 'raw': 519, 'base_valid': 373, 'seconds': 0.21363186836242676}
behavior 336/459 7416f387-b302-4ca3-8daf-03b585a1b7ec: {'eid': '7416f387-b302-4ca3-8daf-03b585a1b7ec', 'trials': 247, 'side': 'left', 'raw': 476, 'base_valid': 247, 'seconds': 0.2836475372314453}
behavior 337/459 1928bf72-2002-46a6-8930-728420402e01: {'eid': '1928bf72-2002-46a6-8930-728420402e01', 'trials': 397, 'side': 'left', 'raw': 669, 'base_valid': 397, 'seconds': 0.3289339542388916}
behavior 338/459 22e04698-b974-4805-b241-3b547dbf37bf: {'eid': '22e04698-b974-4805-b241-3b547dbf37bf', 'trials': 299, 'side': 'left', 'raw': 518, 'base_valid': 299, 'seconds': 0.22148942947387695}
behavior 339/459 7cb81727-2097-4b52-b480-c89867b5b34c: {'eid': '7cb81727-2097-4b52-b480-c89867b5b34c', 'trials': 325, 'side': 'left', 'raw': 658, 'base_valid': 325, 'seconds': 0.30103015899658203}
behavior 340/459 f84045b0-ce09-4ace-9d11-5ea491620707: {'eid': 'f84045b0-ce09-4ace-9d11-5ea491620707', 'trials': 350, 'side': 'left', 'raw': 583, 'base_valid': 350, 'seconds': 0.28226304054260254}
behavior 341/459 239cdbb1-68e2-4eb0-91d8-ae5ae4001c7a: {'eid': '239cdbb1-68e2-4eb0-91d8-ae5ae4001c7a', 'trials': 360, 'side': 'left', 'raw': 636, 'base_valid': 360, 'seconds': 0.2747232913970947}
behavior 342/459 75b6b132-d998-4fba-8482-961418ac957d: {'eid': '75b6b132-d998-4fba-8482-961418ac957d', 'trials': 242, 'side': 'left', 'raw': 471, 'base_valid': 242, 'seconds': 0.2578747272491455}
behavior 343/459 032452e9-1886-449d-9c13-0f192572e19f: {'eid': '032452e9-1886-449d-9c13-0f192572e19f', 'trials': 307, 'side': 'left', 'raw': 426, 'base_valid': 307, 'seconds': 0.2778034210205078}
behavior 344/459 56b57c38-2699-4091-90a8-aba35103155e: {'eid': '56b57c38-2699-4091-90a8-aba35103155e', 'trials': 413, 'side': 'left', 'raw': 571, 'base_valid': 413, 'seconds': 0.2294309139251709}
behavior 345/459 91796ceb-e314-4859-9a1f-092f85cc846a: {'eid': '91796ceb-e314-4859-9a1f-092f85cc846a', 'trials': 432, 'side': 'left', 'raw': 626, 'base_valid': 432, 'seconds': 0.2902684211730957}
behavior 346/459 6c6983ef-7383-4989-9183-32b1a300d17a: {'eid': '6c6983ef-7383-4989-9183-32b1a300d17a', 'trials': 463, 'side': 'left', 'raw': 635, 'base_valid': 463, 'seconds': 0.2673916816711426}
behavior 347/459 eebacd5a-7dcd-4ba6-9dff-ec2a4d2f19e0: {'eid': 'eebacd5a-7dcd-4ba6-9dff-ec2a4d2f19e0', 'trials': 475, 'side': 'left', 'raw': 630, 'base_valid': 475, 'seconds': 0.22682619094848633}
behavior 348/459 671c7ea7-6726-4fbe-adeb-f89c2c8e489b: {'eid': '671c7ea7-6726-4fbe-adeb-f89c2c8e489b', 'trials': 543, 'side': 'left', 'raw': 802, 'base_valid': 543, 'seconds': 0.3155703544616699}
behavior 349/459 6bb5da8f-6858-4fdd-96d9-c34b3b841593: {'eid': '6bb5da8f-6858-4fdd-96d9-c34b3b841593', 'trials': 449, 'side': 'left', 'raw': 651, 'base_valid': 449, 'seconds': 0.2796494960784912}
behavior 350/459 3638d102-e8b6-4230-8742-e548cd87a949: {'eid': '3638d102-e8b6-4230-8742-e548cd87a949', 'trials': 394, 'side': 'left', 'raw': 695, 'base_valid': 394, 'seconds': 0.3325657844543457}
behavior 351/459 f1db6257-85ef-4385-b415-2d078ec75df2: {'eid': 'f1db6257-85ef-4385-b415-2d078ec75df2', 'trials': 457, 'side': 'left', 'raw': 741, 'base_valid': 457, 'seconds': 0.3186454772949219}
