converting 459 sessions with 24 workers
[1/459] 21d21fc3-4201-4edc-802a-c67b61952548   61u  369tr   3.0s (elapsed 0.1m, eta 25.9m)
[438/459] 15763234-d21e-491f-a01b-1238eb96d389  171u  566tr  12.6s (elapsed 2.5m, eta 0.1m)
[439/459] 626126d5-eecf-4e9b-900e-ec29a17ece07  231u  662tr  13.0s (elapsed 2.5m, eta 0.1m)
[440/459] 280ee768-f7b8-4c6c-9ea0-48ca75d6b6f3  106u  730tr  14.9s (elapsed 2.5m, eta 0.1m)
[441/459] 81a78eac-9d36-4f90-a73a-7eb3ad7f770b  305u  919tr  16.7s (elapsed 2.5m, eta 0.1m)
[442/459] 5d01d14e-aced-4465-8f8e-9a1c674f62ec  233u  257tr  17.7s (elapsed 2.5m, eta 0.1m)
[443/459] e349a2e7-50a3-47ca-bc45-20d1899854ec  164u  882tr  16.7s (elapsed 2.5m, eta 0.1m)
[444/459] 7f6b86f9-879a-4ea2-8531-294a221af5d0  192u  626tr  36.8s (elapsed 2.5m, eta 0.1m)
[445/459] fcd49e34-f07b-441c-b2ac-cb8c462ec5ac  258u 1201tr  17.1s (elapsed 2.6m, eta 0.1m)
[446/459] c557324b-b95d-414c-888f-6ee1329a2329  276u  855tr  19.2s (elapsed 2.6m, eta 0.1m)
[447/459] 1ec23a70-b94b-4e9c-a0df-8c2151da3761  247u 1085tr  17.4s (elapsed 2.6m, eta 0.1m)
[448/459] a82800ce-f4e3-4464-9b80-4c3d6fade333  203u  455tr  30.6s (elapsed 2.6m, eta 0.1m)
[449/459] c7bd79c9-c47e-4ea5-aea3-74dda991b48e  221u 1093tr  13.0s (elapsed 2.6m, eta 0.1m)
[450/459] 993c7024-0abc-4028-ad30-d397ad55b084  239u 1033tr  18.3s (elapsed 2.6m, eta 0.1m)
[451/459] 6a601cc5-7b79-4c75-b0e8-552246532f82  189u  389tr  30.0s (elapsed 2.6m, eta 0.0m)
[452/459] 549caacc-3bd7-40f1-913d-e94141816547  190u  232tr  23.3s (elapsed 2.6m, eta 0.0m)
[453/459] 20c112a1-8a42-44e0-a4cd-e5b932f7bda9  203u  439tr  24.1s (elapsed 2.6m, eta 0.0m)
[454/459] e56541a5-a6d5-4750-b1fe-f6b5257bfe7c  303u  346tr  20.5s (elapsed 2.6m, eta 0.0m)
[455/459] 6274dda8-3a59-4aa1-95f8-a8a549c46a26  349u  586tr  22.1s (elapsed 2.6m, eta 0.0m)
[456/459] 8207abc6-6b23-4762-92b4-82e05bed5143  332u  496tr  24.9s (elapsed 2.6m, eta 0.0m)
[457/459] b69b86be-af7d-4ecf-8cbf-0cd356afa1bd  217u  198tr  21.2s (elapsed 2.6m, eta 0.0m)
[458/459] 5522ac4b-0e41-4c53-836a-aaa17e82b9eb  220u 1054tr  20.7s (elapsed 2.6m, eta 0.0m)
[459/459] fece187f-b47f-4870-a1d6-619afe942a7d  204u 1445tr  18.5s (elapsed 2.6m, eta 0.0m)

converted 441 sessions, skipped 18
  skipped d16a9a8d-5f42-4b49-ba58-1746f807fcc1: RuntimeError: only 3 well-isolated grey-matter units (minimum 5)
  skipped 571d3ffe-54a5-473d-a265-5dc373eb7efc: RuntimeError: no whisker motion energy (left or right)
  skipped ac7d3064-7f09-48a3-88d2-e86a4eb86461: RuntimeError: no whisker motion energy (left or right)
  skipped 872ce8ff-9fb3-485c-be00-bc5479e0095b: RuntimeError: no whisker motion energy (left or right)
  skipped 7082d8ff-255a-47d7-a839-bf093483ec30: RuntimeError: no whisker motion energy (left or right)
  skipped cea755db-4eee-4138-bdd6-fc23a572f5a1: RuntimeError: no whisker motion energy (left or right)
  skipped e5fae088-ed96-4d9b-82f9-dfd13c259d52: RuntimeError: no whisker motion energy (left or right)
  skipped dd4da095-4a99-4bf3-9727-f735077dba66: RuntimeError: no whisker motion energy (left or right)
  skipped 4d8c7767-981c-4347-8e5e-5d5fffe38534: RuntimeError: no whisker motion energy (left or right)
  skipped 6bb5da8f-6858-4fdd-96d9-c34b3b841593: RuntimeError: only 1 well-isolated grey-matter units (minimum 5)
  skipped 3a3ea015-b5f4-4e8b-b189-9364d1fc7435: RuntimeError: only 2 well-isolated grey-matter units (minimum 5)
  skipped ebe090af-5922-4fcd-8fc6-17b8ba7bad6d: RuntimeError: no whisker motion energy (left or right)
  skipped d832d9f7-c96a-4f63-8921-516ba4a7b61f: RuntimeError: no whisker motion energy (left or right)
  skipped f8041c1e-5ef4-4ae6-afec-ed82d7a74dc1: RuntimeError: only 0 trials with complete behaviour
  skipped c728f6fd-58e2-448d-aefb-a72c637b604c: RuntimeError: no whisker motion energy (left or right)
  skipped 03cf52f6-fba6-4743-a42e-dd1ac3072343: RuntimeError: no whisker motion energy (left or right)
  skipped b81e3e11-9a60-4114-b894-09f85074d9c3: RuntimeError: no whisker motion energy (left or right)
  skipped da188f2c-553c-4e04-879b-c9ea2d1b9a93: RuntimeError: no whisker motion energy (left or right)

sessions 441 | subjects 136 | regions 263 | trials 187934 | neurons 62757
wrote /app/converted_data.pkl (11.35 GB) in 3.0 min
cumulative stage timings (s): {'load_spikes': 2330.0, 'bin_spikes': 664.6, 'load_behaviour': 428.6, 'bin_behaviour': 37.0, 'load_trials': 16.7}
