Requested mode: full
Candidate local sessions from manifest: 459
Session workers: 8
[skip] 3a3ea015-b5f4-4e8b-b189-9364d1fc7435: Missing wheel files for /app/data/one_cache/steinmetzlab/Subjects/NR_0029/2023-09-07/001
[ok] d85c454e-8737-4cba-b6ad-b2339429d99b: raw_trials=413, kept_trials=325, good_clusters=17, whisker=left, elapsed=1.8s
[ok] 3c851386-e92d-4533-8d55-89a46f0e7384: raw_trials=403, kept_trials=268, good_clusters=67, whisker=left, elapsed=3.3s
[ok] ee13c19e-2790-4418-97ca-48f02e8013bb: raw_trials=409, kept_trials=231, good_clusters=78, whisker=left, elapsed=7.4s
[ok] 0f25376f-2b78-4ddc-8c39-b6cdbe7bf5b9: raw_trials=471, kept_trials=288, good_clusters=172, whisker=left, elapsed=8.5s
[ok] dda5fc59-f09a-4256-9fb5-66c67667a466: raw_trials=751, kept_trials=436, good_clusters=187, whisker=left, elapsed=15.8s
[ok] 57b5ae8f-d446-4161-b439-b191c5e3e77b: raw_trials=639, kept_trials=369, good_clusters=100, whisker=left, elapsed=14.4s
[ok] 158d5d35-a2ab-4a76-87b0-51048c5d5283: raw_trials=401, kept_trials=261, good_clusters=105, whisker=left, elapsed=10.6s
[ok] db4df448-e449-4a6f-a0e7-288711e7a75a: raw_trials=402, kept_trials=288, good_clusters=120, whisker=left, elapsed=2.8s
[ok] d2f5a130-b981-4546-8858-c94ae1da75ff: raw_trials=525, kept_trials=355, good_clusters=163, whisker=left, elapsed=10.8s
[ok] 3dd347df-f14e-40d5-9ff2-9c49f84d2157: raw_trials=401, kept_trials=237, good_clusters=131, whisker=left, elapsed=10.5s
[ok] 034e726f-b35f-41e0-8d6c-a22cc32391fb: raw_trials=589, kept_trials=438, good_clusters=140, whisker=left, elapsed=6.4s
[ok] 56956777-dca5-468c-87cb-78150432cc57: raw_trials=425, kept_trials=244, good_clusters=264, whisker=left, elapsed=7.3s
[ok] fa704052-147e-46f6-b190-a65b837e605e: raw_trials=1007, kept_trials=741, good_clusters=136, whisker=left, elapsed=10.1s
[ok] 46794e05-3f6a-4d35-afb3-9165091a5a74: raw_trials=807, kept_trials=535, good_clusters=131, whisker=left, elapsed=11.9s
[ok] dfd8e7df-dc51-4589-b6ca-7baccfeb94b4: raw_trials=528, kept_trials=371, good_clusters=91, whisker=left, elapsed=12.3s
[ok] 83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4: raw_trials=907, kept_trials=576, good_clusters=100, whisker=left, elapsed=5.5s
[ok] f10efe41-0dc0-44d0-8f26-5ff68dca23e9: raw_trials=663, kept_trials=389, good_clusters=426, whisker=left, elapsed=47.1s
[ok] 4b00df29-3769-43be-bb40-128b1cba6d35: raw_trials=812, kept_trials=547, good_clusters=109, whisker=left, elapsed=8.3s
[ok] 6713a4a7-faed-4df2-acab-ee4e63326f8d: raw_trials=565, kept_trials=407, good_clusters=76, whisker=left, elapsed=4.2s
[ok] cf43dbb1-6992-40ec-a5f9-e8e838d0f643: raw_trials=402, kept_trials=316, good_clusters=41, whisker=left, elapsed=3.5s
[ok] 741979ce-3f10-443a-8526-2275620c8473: raw_trials=617, kept_trials=518, good_clusters=84, whisker=left, elapsed=3.8s
[ok] 5386aba9-9b97-4557-abcd-abc2da66b863: raw_trials=1011, kept_trials=682, good_clusters=59, whisker=left, elapsed=11.6s
[ok] ecb5520d-1358-434c-95ec-93687ecd1396: raw_trials=510, kept_trials=313, good_clusters=133, whisker=left, elapsed=3.7s
[ok] 85dc2ebd-8aaf-46b0-9284-a197aee8b16f: raw_trials=770, kept_trials=407, good_clusters=146, whisker=left, elapsed=13.2s
[ok] 36280321-555b-446d-9b7d-c2e17991e090: raw_trials=556, kept_trials=427, good_clusters=59, whisker=left, elapsed=4.3s
[ok] a71175be-d1fd-47a3-aa93-b830ea3634a1: raw_trials=855, kept_trials=341, good_clusters=119, whisker=left, elapsed=12.1s
[ok] 0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3: raw_trials=771, kept_trials=515, good_clusters=171, whisker=left, elapsed=12.8s
[ok] 7939711b-8b4d-4251-b698-b97c1eaa846e: raw_trials=1019, kept_trials=591, good_clusters=233, whisker=left, elapsed=29.8s
[ok] 7bee9f09-a238-42cf-b499-f51f765c6ded: raw_trials=449, kept_trials=348, good_clusters=83, whisker=left, elapsed=2.4s
[ok] e49d8ee7-24b9-416a-9d04-9be33b655f40: raw_trials=510, kept_trials=404, good_clusters=59, whisker=left, elapsed=3.4s
[ok] 3663d82b-f197-4e8b-b299-7b803a155b84: raw_trials=893, kept_trials=594, good_clusters=179, whisker=left, elapsed=17.9s
[ok] 02fbb6da-3034-47d6-a61b-7d06c796a830: raw_trials=646, kept_trials=446, good_clusters=96, whisker=left, elapsed=4.4s
[ok] eef82e27-c20e-48da-b4b7-c443031649e3: raw_trials=509, kept_trials=226, good_clusters=146, whisker=left, elapsed=13.0s
[ok] 931a70ae-90ee-448e-bedb-9d41f3eda647: raw_trials=501, kept_trials=380, good_clusters=126, whisker=left, elapsed=3.3s
[ok] 12dc8b34-b18e-4cdd-90a9-da134a9be79c: raw_trials=907, kept_trials=420, good_clusters=32, whisker=left, elapsed=6.2s
[ok] 0deb75fb-9088-42d9-b744-012fb8fc4afb: raw_trials=675, kept_trials=211, good_clusters=75, whisker=left, elapsed=10.5s
[ok] f8d5c8b0-b931-4151-b86c-c471e2e80e5d: raw_trials=787, kept_trials=519, good_clusters=253, whisker=left, elapsed=14.1s
[ok] bb6a5aae-2431-401d-8f6a-9fdd6de655a9: raw_trials=415, kept_trials=273, good_clusters=89, whisker=left, elapsed=3.5s
[ok] 465c44bd-2e67-4112-977b-36e1ac7e3f8c: raw_trials=484, kept_trials=359, good_clusters=254, whisker=left, elapsed=8.3s
[ok] 193fe7a8-4eb5-4f3e-815a-0c45864ddd77: raw_trials=629, kept_trials=443, good_clusters=69, whisker=left, elapsed=6.7s
[ok] 90d1e82c-c96f-496c-ad4e-ee3f02067f25: raw_trials=541, kept_trials=387, good_clusters=103, whisker=left, elapsed=6.2s
[ok] 032ffcdf-7692-40b3-b9ff-8def1fc18b2e: raw_trials=581, kept_trials=267, good_clusters=132, whisker=left, elapsed=12.8s
[ok] a8a8af78-16de-4841-ab07-fde4b5281a03: raw_trials=550, kept_trials=337, good_clusters=126, whisker=left, elapsed=11.3s
[ok] 2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e: raw_trials=421, kept_trials=192, good_clusters=145, whisker=left, elapsed=8.8s
[ok] 810b1e07-009e-4ebe-930a-915e4cd8ece4: raw_trials=469, kept_trials=168, good_clusters=411, whisker=left, elapsed=36.8s
[ok] 259927fd-7563-4b03-bc5d-17b4d0fa7a55: raw_trials=646, kept_trials=499, good_clusters=328, whisker=left, elapsed=16.0s
[ok] 4fa70097-8101-4f10-b585-db39429c5ed0: raw_trials=485, kept_trials=335, good_clusters=103, whisker=left, elapsed=3.3s
[ok] 510b1a50-825d-44ce-86f6-9678f5396e02: raw_trials=1075, kept_trials=654, good_clusters=232, whisker=left, elapsed=22.8s
[ok] ee40aece-cffd-4edb-a4b6-155f158c666a: raw_trials=994, kept_trials=519, good_clusters=466, whisker=left, elapsed=36.2s
[ok] b52182e7-39f6-4914-9717-136db589706e: raw_trials=700, kept_trials=461, good_clusters=159, whisker=left, elapsed=6.2s
[ok] cb2ad999-a6cb-42ff-bf71-1774c57e5308: raw_trials=872, kept_trials=679, good_clusters=201, whisker=left, elapsed=12.7s
[ok] b182b754-3c3e-4942-8144-6ee790926b58: raw_trials=444, kept_trials=220, good_clusters=234, whisker=right, elapsed=10.4s
[ok] 4364a246-f8d7-4ce7-ba23-a098104b96e4: raw_trials=557, kept_trials=147, good_clusters=163, whisker=left, elapsed=7.6s
[ok] c99d53e6-c317-4c53-99ba-070b26673ac4: raw_trials=642, kept_trials=423, good_clusters=67, whisker=left, elapsed=2.4s
[ok] 3e7ae7c0-fe8b-487c-9354-036236fa1010: raw_trials=854, kept_trials=402, good_clusters=50, whisker=left, elapsed=9.0s
[ok] d839491f-55d8-4cbe-a298-7839208ba12b: raw_trials=559, kept_trials=326, good_clusters=113, whisker=left, elapsed=7.5s
[ok] ff4187b5-4176-4e39-8894-53a24b7cf36b: raw_trials=872, kept_trials=601, good_clusters=518, whisker=left, elapsed=34.5s
[ok] 53738f95-bd08-4d9d-9133-483fdb19e8da: raw_trials=596, kept_trials=354, good_clusters=71, whisker=left, elapsed=3.7s
[ok] d2918f52-8280-43c0-924b-029b2317e62c: raw_trials=837, kept_trials=585, good_clusters=218, whisker=left, elapsed=9.6s
[ok] 4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b: raw_trials=842, kept_trials=559, good_clusters=183, whisker=left, elapsed=8.5s
[ok] d33baf74-263c-4b37-a0d0-b79dcb80a764: raw_trials=427, kept_trials=298, good_clusters=524, whisker=left, elapsed=20.5s
[ok] aad23144-0e52-4eac-80c5-c4ee2decb198: raw_trials=641, kept_trials=483, good_clusters=270, whisker=left, elapsed=5.8s
[ok] a92c4b1d-46bd-457e-a1f4-414265f0e2d4: raw_trials=800, kept_trials=578, good_clusters=122, whisker=left, elapsed=4.5s
[ok] 15f742e1-1043-45c9-9504-f1e8a53c1744: raw_trials=826, kept_trials=482, good_clusters=89, whisker=left, elapsed=5.5s
[ok] 16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1: raw_trials=553, kept_trials=362, good_clusters=107, whisker=left, elapsed=5.0s
[ok] 6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4: raw_trials=445, kept_trials=324, good_clusters=94, whisker=left, elapsed=3.4s
[ok] b9c205c3-feac-485b-a89d-afc96d9cb280: raw_trials=657, kept_trials=410, good_clusters=97, whisker=left, elapsed=4.9s
[skip] e5fae088-ed96-4d9b-82f9-dfd13c259d52: Missing whisker motion energy files for /app/data/one_cache/mainenlab/Subjects/ZM_1897/2019-12-06/001
[ok] cc45c568-c3b9-4f74-836e-c87762e898c8: raw_trials=715, kept_trials=524, good_clusters=221, whisker=left, elapsed=5.7s
[ok] a4000c2f-fa75-4b3e-8f06-a7cf599b87ad: raw_trials=653, kept_trials=501, good_clusters=210, whisker=left, elapsed=5.0s
[ok] dd87e278-999d-478b-8cbd-b5bf92b84763: raw_trials=744, kept_trials=555, good_clusters=148, whisker=left, elapsed=10.6s
[ok] 21e16736-fd59-44c7-b938-9b1333d25da8: raw_trials=802, kept_trials=346, good_clusters=132, whisker=left, elapsed=13.7s
[ok] 49368f16-de69-4647-9a7a-761e94517821: raw_trials=544, kept_trials=398, good_clusters=108, whisker=left, elapsed=5.2s
[ok] e1931de1-cf7b-49af-af33-2ade15e8abe7: raw_trials=688, kept_trials=529, good_clusters=171, whisker=left, elapsed=9.1s
[ok] 16693458-0801-4d35-a3f1-9115c7e5acfd: raw_trials=531, kept_trials=353, good_clusters=270, whisker=left, elapsed=7.3s
[skip] dd4da095-4a99-4bf3-9727-f735077dba66: Missing whisker motion energy files for /app/data/one_cache/mainenlab/Subjects/ZM_1897/2019-12-02/001
[skip] ebe090af-5922-4fcd-8fc6-17b8ba7bad6d: Missing whisker motion energy files for /app/data/one_cache/wittenlab/Subjects/ibl_witten_13/2019-12-03/001
[ok] 5139ce2c-7d52-44bf-8129-692d61dd6403: raw_trials=1026, kept_trials=656, good_clusters=220, whisker=left, elapsed=19.3s
Wheel speed tertile edges: (0.015137747551004086, 0.40302645166714973)
Whisker motion energy tertile edges: (2.7279484272003174, 7.860177834828694)
Processed dataset summary:
  sessions: 438
  subjects: 135
  trials: 186245
  good clusters: 72757
  raw clusters before QC: 595576
  mean trials/session: 425.2
  mean good clusters/session: 166.1
Saved converted dataset to /app/converted_data.pkl
Total elapsed time: 14m 0.6s
